state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Bihar,Siwan,2020,61.43,97.04,12.35,36.78,55.96,59.94,36.71
Madhya Pradesh,Sheopur,2018,37.05,81.34,24.93,22.94,82.21,87.35,66.13
Gujarat,Banaskantha,2019,71.09,42.42,79.86,56.34,21.04,14.03,87.55
Madhya Pradesh,Katni,2016,77.67,70.67,66.62,58.71,87.77,83.93,83.15
Himachal Pradesh,Hamirpur,2019,33.04,77.3,67.44,43.06,13.36,38.33,55.23
Tamil Nadu,Pudukkottai,2018,70.81,75.34,35.43,58.3,99.1,21.92,48.96
Rajasthan,Jaipur,2024,27.38,30.04,32.88,64.15,46.85,30.06,10.63
Madhya Pradesh,Niwari,2017,98.84,76.16,94.58,58.19,76.58,73.82,94.02
Bihar,Buxar,2021,94.6,55.81,62.21,62.99,61.38,84.91,66.82
West Bengal,Uttar Dinajpur,2022,95.41,38.26,72.36,53.6,30.31,22.12,32.18
Meghalaya,West Jaintia Hills,2018,38.52,81.0,57.59,19.62,56.19,71.54,33.68
Assam,Chirang,2023,36.08,56.04,63.61,14.86,73.34,79.98,64.3
Jharkhand,Godda,2015,35.1,60.58,58.47,76.4,46.17,61.86,28.42
Maharashtra,Yavatmal,2020,20.21,27.21,97.56,42.12,31.01,99.1,52.02
Gujarat,Tapi,2017,67.59,92.01,32.88,96.65,36.69,22.05,74.79
Assam,West Karbi Anglong,2018,12.65,43.49,80.55,23.27,16.87,70.47,15.52
Uttar Pradesh,Ayodhya,2021,58.08,62.55,14.54,68.84,37.04,97.54,89.39
Manipur,Senapati,2017,60.14,17.86,88.8,28.23,90.99,81.56,59.59
Telangana,Mahabubabad,2025,50.4,77.17,68.94,81.25,19.51,11.78,88.89
Uttar Pradesh,Gautam Buddha Nagar,2017,57.38,28.2,11.33,78.66,60.47,31.89,20.47
Manipur,Imphal East,2019,53.25,16.29,70.09,28.07,69.85,16.28,35.31
Telangana,Hyderabad,2020,90.81,75.25,72.21,78.07,33.9,98.82,98.79
Arunachal Pradesh,Kra Daadi,2017,81.71,77.29,84.79,82.08,36.65,48.67,81.86
Rajasthan,Dungarpur,2020,60.42,38.26,19.89,73.98,22.04,87.77,62.72
Nagaland,Chümoukedima,2016,88.84,64.29,54.29,93.94,51.63,87.07,68.63
Telangana,Nagarkurnool,2022,28.76,56.84,13.28,19.19,75.86,62.29,96.16
Telangana,Komaram Bheem Asifabad,2025,91.65,72.92,95.11,84.13,98.34,95.24,33.2
Chhattisgarh,Narayanpur,2019,86.84,76.69,55.83,22.62,94.56,45.67,45.97
Sikkim,Namchi,2019,54.14,99.04,54.69,34.88,41.46,93.85,73.34
Uttar Pradesh,Balrampur,2021,80.61,92.66,81.55,78.07,91.56,98.4,11.07
Haryana,Panipat,2025,30.56,60.14,62.59,99.2,29.2,61.34,48.17
Haryana,Karnal,2018,40.76,61.93,76.92,77.39,22.84,52.81,19.45
Uttarakhand,Champawat,2024,58.63,86.01,22.12,79.02,40.06,24.0,96.31
Odisha,Puri,2015,84.15,98.5,64.73,33.16,71.34,64.86,36.19
Gujarat,Banaskantha,2021,35.21,99.26,93.32,42.06,28.6,83.36,43.16
Meghalaya,South Garo Hills,2021,69.67,26.69,69.09,23.57,52.59,58.96,58.92
Uttarakhand,Bageshwar,2019,53.18,80.31,10.1,40.33,96.71,20.14,50.58
Arunachal Pradesh,West Kameng,2015,95.53,94.87,17.61,94.63,87.48,22.92,72.73
Tamil Nadu,Dharmapuri,2022,20.2,70.79,45.7,13.08,57.89,45.98,23.79
Uttarakhand,Pithoragarh,2018,94.58,26.83,46.71,89.0,41.15,59.07,72.21
Madhya Pradesh,Seoni,2019,21.4,47.41,37.69,61.62,58.53,54.63,12.11
Nagaland,Tuensang,2021,73.36,47.09,52.03,55.68,26.48,55.73,50.66
Sikkim,Pakyong,2018,49.35,46.14,98.12,71.38,17.86,69.77,36.45
Karnataka,Chitradurga,2024,12.33,78.13,76.93,72.73,96.1,33.42,56.5
Odisha,Dhenkanal,2015,44.58,35.85,41.89,26.9,74.18,42.87,15.48
Rajasthan,Kekri,2016,45.68,24.91,73.95,12.43,29.06,78.42,18.23
Madhya Pradesh,Jhabua,2025,93.56,45.83,88.36,26.5,40.21,32.07,20.82
Gujarat,Anand,2019,28.9,81.89,46.46,22.05,10.92,12.47,86.12
Andhra Pradesh,Chittoor,2025,93.13,15.49,40.66,43.0,19.61,87.64,51.84
Arunachal Pradesh,Lower Subansiri,2017,47.28,36.35,48.03,52.53,69.73,91.28,43.28
Uttar Pradesh,Shahjahanpur,2021,83.26,65.1,48.93,27.97,53.94,85.93,96.46
Nagaland,Wokha,2023,58.39,65.19,28.61,19.02,64.56,35.61,11.76
Punjab,Sri Muktsar Sahib,2018,14.24,45.04,59.72,90.55,91.86,85.84,88.3
Karnataka,Ballari,2023,81.22,85.93,82.32,37.04,49.54,33.4,14.22
Rajasthan,Salumbar,2018,70.99,48.68,33.07,47.48,88.49,63.36,85.37
Rajasthan,Salumbar,2020,70.25,15.58,42.3,66.42,97.99,64.08,21.23
Punjab,Bathinda,2025,55.79,66.66,50.9,97.34,48.31,46.3,42.13
Gujarat,Chhota Udepur,2025,73.96,78.31,69.46,13.03,58.49,12.58,52.44
Madhya Pradesh,Singrauli,2019,59.17,30.82,62.51,37.49,67.99,23.06,80.95
Assam,Nalbari,2020,75.93,54.66,61.15,18.04,52.88,25.14,30.46
Nagaland,Tseminyu,2015,23.86,42.37,27.58,96.88,37.33,95.49,78.09
Rajasthan,Ajmer,2016,19.21,64.61,80.08,40.39,14.31,42.02,67.34
Kerala,Thiruvananthapuram,2022,36.17,60.71,50.04,64.54,42.16,24.27,75.35
Jharkhand,Jamtara,2022,23.06,12.82,16.91,97.92,78.6,68.56,71.72
Bihar,Saharsa,2025,33.86,98.73,87.15,53.06,50.88,87.07,98.49
Odisha,Jajpur,2023,11.11,87.18,27.09,95.28,13.0,21.51,48.11
Andhra Pradesh,West Godavari,2016,83.79,97.49,92.63,61.57,57.96,21.45,87.83
Telangana,Nalgonda,2025,69.06,79.7,90.37,22.99,46.17,36.58,61.6
Uttar Pradesh,Gonda,2025,30.57,10.14,20.78,46.77,69.32,69.3,69.13
Odisha,Sonepur,2022,81.46,58.04,12.3,74.71,11.22,86.07,74.86
Madhya Pradesh,Rajgarh,2021,10.08,56.93,81.96,89.47,32.29,13.52,13.79
Chhattisgarh,Mahasamund,2022,54.27,53.0,24.42,85.22,25.62,61.37,57.54
Bihar,Bhojpur,2022,93.55,91.04,98.79,61.69,45.12,64.87,13.3
Uttar Pradesh,Bulandshahr,2021,18.78,23.13,91.34,28.88,83.35,74.76,46.53
Telangana,Nizamabad,2023,46.62,29.92,96.15,89.14,57.82,35.98,40.16
Gujarat,Panchmahal,2022,88.83,68.56,73.05,94.92,63.74,27.31,37.32
Karnataka,Tumakuru,2019,52.03,86.68,31.08,52.85,84.36,78.58,71.11
Rajasthan,Salumbar,2020,37.77,80.72,71.52,98.64,19.86,18.87,52.35
Madhya Pradesh,Dewas,2017,38.8,66.35,90.6,50.43,89.0,63.81,44.82
Uttar Pradesh,Sitapur,2025,32.06,68.72,63.68,18.71,19.67,92.26,21.68
Andhra Pradesh,NTR,2017,22.45,17.69,17.84,80.76,12.81,10.65,72.28
Assam,Barpeta,2019,18.87,90.23,94.58,84.95,50.31,82.42,94.13
Haryana,Rohtak,2024,47.8,86.9,36.78,66.16,33.88,53.82,39.26
Madhya Pradesh,Betul,2025,86.59,68.92,99.68,94.04,81.49,77.17,57.17
Uttarakhand,Almora,2023,32.17,78.22,10.09,68.91,26.93,54.46,59.92
West Bengal,Howrah,2016,70.88,96.66,15.44,46.99,25.34,33.77,83.9
Uttar Pradesh,Ghaziabad,2016,12.97,60.16,21.65,58.09,56.91,42.57,29.23
Himachal Pradesh,Lahaul & Spiti,2025,77.06,13.58,83.7,63.13,15.38,25.89,52.72
Manipur,Imphal East,2021,59.98,90.68,69.62,48.9,49.76,71.54,72.68
Odisha,Kendujhar (Keonjhar),2025,52.64,86.66,84.94,10.72,64.94,54.39,68.83
Meghalaya,East Khasi Hills,2017,95.85,66.51,54.36,46.91,14.8,18.69,89.1
Odisha,Deogarh,2024,25.26,18.89,49.31,56.88,52.29,90.02,66.3
Andhra Pradesh,Chittoor,2025,64.35,94.44,52.54,68.33,65.45,66.85,52.63
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,86.88,66.24,90.32,83.91,47.43,29.61,80.99
Uttar Pradesh,Hardoi,2017,56.31,28.19,92.17,44.38,95.4,57.98,85.92
Andhra Pradesh,Kakinada,2024,92.45,15.16,32.71,70.16,80.84,93.03,82.68
Uttar Pradesh,Firozabad,2022,32.52,34.56,66.33,22.59,19.8,33.85,78.48
Assam,Sivasagar,2020,71.19,63.36,14.26,32.77,19.41,81.15,73.7
Uttar Pradesh,Jhansi,2022,45.35,57.58,49.62,53.18,14.86,65.84,41.38
Madhya Pradesh,Chhatarpur,2019,18.7,16.48,84.09,96.19,16.02,13.75,36.68
Madhya Pradesh,Umaria,2025,95.01,69.66,46.64,64.16,81.98,42.07,99.9
Uttar Pradesh,Meerut,2025,94.13,80.91,31.76,62.91,52.73,85.52,13.86
Andhra Pradesh,Vizianagaram,2016,59.75,46.38,80.82,74.37,56.84,95.04,59.29
Bihar,Madhubani,2016,16.0,18.33,82.87,95.48,15.3,86.62,89.61
Uttar Pradesh,Hathras,2016,45.3,69.19,13.6,36.67,86.3,25.77,12.76
Andhra Pradesh,Annamayya,2016,81.92,54.96,26.53,38.35,34.99,84.16,78.67
Tripura,Unakoti,2021,22.52,36.45,18.26,72.31,92.6,78.36,50.27
Jharkhand,East Singhbhum,2023,74.23,99.51,75.19,68.9,96.22,72.82,15.79
Andhra Pradesh,West Godavari,2023,25.84,34.7,47.35,44.16,37.81,56.14,56.51
Madhya Pradesh,Sagar,2018,39.9,14.16,65.93,75.98,83.84,44.02,93.09
Maharashtra,Chandrapur,2023,56.81,52.3,10.09,98.75,77.04,99.6,75.14
Bihar,Bhagalpur,2020,64.12,58.45,67.51,59.32,46.39,15.24,66.67
Telangana,Wanaparthy,2024,48.9,81.06,19.06,14.73,97.7,71.48,65.7
Rajasthan,Hanumangarh,2025,40.46,69.51,16.28,32.31,60.44,81.34,95.35
Manipur,Ukhrul,2018,75.63,22.24,50.8,76.37,37.74,71.3,58.1
Uttar Pradesh,Sambhal,2019,67.4,10.98,90.47,95.1,67.46,12.96,76.6
Odisha,Gajapati,2015,93.46,72.36,61.51,50.6,42.86,70.43,19.14
Madhya Pradesh,Sidhi,2019,48.28,77.67,21.43,96.84,15.98,67.49,63.79
West Bengal,Purulia,2016,18.24,48.6,96.01,84.11,32.24,29.9,13.61
Assam,Barpeta,2016,75.17,28.43,67.42,60.56,90.48,30.35,26.23
Chhattisgarh,Korea,2021,13.92,37.54,86.53,55.53,44.8,45.36,76.47
Maharashtra,Chandrapur,2016,95.15,95.22,14.66,97.2,14.76,85.96,17.17
Jharkhand,Ramgarh,2023,11.32,58.37,79.15,77.67,17.18,80.53,20.97
Rajasthan,Jalore,2015,42.9,95.27,59.95,24.06,33.44,54.81,52.32
Assam,Hojai,2015,39.23,37.29,26.08,67.73,88.49,46.28,14.78
West Bengal,Dakshin Dinajpur,2015,98.49,72.69,67.62,15.28,98.36,24.43,50.72
Uttar Pradesh,Bahraich,2025,17.01,39.56,52.13,50.58,86.86,14.31,14.39
Bihar,Nalanda,2025,45.33,69.52,27.42,80.28,77.25,17.33,42.29
Haryana,Faridabad,2015,99.97,62.7,74.88,24.12,90.79,26.73,70.51
Meghalaya,South Garo Hills,2019,54.22,12.72,74.82,32.04,79.39,66.09,87.13
Bihar,Katihar,2024,67.76,67.16,41.46,21.94,45.01,84.66,29.78
Haryana,Hisar,2021,25.64,94.7,71.58,96.58,56.84,63.15,22.45
Telangana,Nizamabad,2022,35.63,93.42,58.7,75.22,76.89,79.78,98.21
Uttar Pradesh,Balrampur,2023,48.2,99.49,79.08,82.03,33.23,12.47,25.65
Kerala,Ernakulam,2015,43.15,84.93,47.35,42.35,34.56,37.74,59.27
Tamil Nadu,Theni,2015,83.35,83.91,42.8,33.87,35.17,91.67,65.97
Manipur,Ukhrul,2023,98.36,66.22,90.83,45.28,90.57,73.03,53.58
Tripura,Gomati,2022,72.35,47.13,17.97,61.86,10.59,66.42,22.92
Telangana,Ranga Reddy,2017,94.63,94.4,83.52,88.53,33.74,76.4,62.29
Kerala,Kollam,2016,93.72,26.9,18.47,94.71,59.82,42.41,57.26
Chhattisgarh,Sakti,2025,27.52,82.93,93.6,82.39,53.56,32.55,18.85
Tripura,Khowai,2022,36.13,48.41,98.05,73.25,36.76,48.2,87.0
Haryana,Kurukshetra,2017,24.72,70.59,50.97,77.04,68.54,39.8,50.44
Madhya Pradesh,Agar Malwa,2018,57.69,95.27,89.74,58.04,85.55,49.14,86.92
Jharkhand,Gumla,2021,30.7,50.96,62.55,41.36,56.67,39.82,54.4
Uttar Pradesh,Mahoba,2019,90.94,77.62,86.49,41.14,36.61,64.35,56.25
Assam,Kamrup,2021,20.02,11.34,41.62,93.45,88.9,87.68,28.12
Jharkhand,Dumka,2017,75.96,67.53,66.64,40.1,35.41,99.83,59.6
Maharashtra,Mumbai Suburban,2018,28.6,86.45,62.57,66.97,53.82,75.63,94.54
Bihar,Vaishali,2017,29.73,13.48,75.72,75.16,44.42,66.15,21.12
Punjab,Ferozepur,2017,36.96,11.26,18.09,97.8,41.1,80.44,21.66
Himachal Pradesh,Kullu,2020,59.59,73.59,56.13,87.12,26.7,75.71,79.01
Assam,Golaghat,2024,77.78,23.46,98.04,67.26,45.06,85.68,24.89
Jharkhand,Chatra,2015,45.99,39.09,75.26,74.19,31.43,66.23,69.14
Bihar,Madhepura,2019,39.65,97.11,41.96,81.76,67.65,91.28,59.95
Jharkhand,Ramgarh,2015,67.87,38.02,27.6,54.07,97.74,74.47,40.93
Jharkhand,Giridih,2023,39.54,45.43,25.21,46.94,69.25,57.87,37.1
Bihar,Bhagalpur,2025,46.37,65.28,66.37,31.39,98.52,58.09,97.48
Rajasthan,Sri Ganganagar,2022,17.92,68.51,73.84,21.99,64.35,92.35,61.78
Madhya Pradesh,Ratlam,2016,48.24,36.17,44.67,74.45,78.01,91.07,67.12
Sikkim,Mangan,2023,87.57,88.45,41.8,37.92,86.08,97.51,51.46
Gujarat,Sabarkantha,2020,28.45,14.65,72.25,92.82,86.93,35.04,30.14
Mizoram,Mamit,2025,61.85,55.74,53.45,19.56,82.54,20.24,32.6
Maharashtra,Osmanabad (Dharashiv),2023,35.9,85.37,22.95,76.62,90.57,82.55,31.48
Maharashtra,Gadchiroli,2023,26.04,42.36,13.94,30.28,37.24,26.73,67.38
Uttar Pradesh,Sant Kabir Nagar,2021,46.61,76.26,48.49,31.02,32.47,87.29,47.43
Maharashtra,Gadchiroli,2021,78.86,60.47,30.17,89.4,67.83,54.48,82.22
Andhra Pradesh,Kakinada,2020,52.38,99.25,19.28,48.96,42.99,25.98,28.68
Chhattisgarh,Baloda Bazar,2016,77.25,90.17,62.42,85.27,22.13,81.52,12.44
Meghalaya,East Garo Hills,2019,50.65,48.51,99.58,36.91,74.14,35.23,34.73
Telangana,Mulugu,2017,12.3,85.29,34.05,77.38,47.36,58.45,57.09
Manipur,Imphal West,2021,27.95,17.42,59.28,94.22,39.56,93.67,13.24
Bihar,Sheikhpura,2021,20.29,36.48,48.25,98.08,33.52,37.77,23.47
Chhattisgarh,Mahasamund,2015,88.85,32.4,53.07,35.86,75.55,61.53,72.03
Manipur,Chandel,2019,78.16,15.46,69.46,27.07,69.16,42.74,38.13
Chhattisgarh,Durg,2020,97.23,51.23,70.85,49.16,68.96,56.56,80.02
Sikkim,Pakyong,2018,17.88,73.3,17.21,43.27,51.71,26.98,63.21
Karnataka,Chikkaballapur,2022,67.96,26.37,54.44,29.27,56.39,22.7,35.72
Chhattisgarh,Sarangarh-Bilaigarh,2023,88.22,25.36,26.88,14.88,91.79,29.05,54.79
Uttar Pradesh,Bhadohi,2019,70.33,83.37,67.2,66.88,84.6,22.42,29.87
Assam,Majuli,2024,87.65,85.52,32.57,22.55,69.92,55.1,41.15
Punjab,Faridkot,2019,42.82,86.49,70.35,33.07,19.34,71.73,52.98
Meghalaya,Ri Bhoi,2024,10.76,97.23,43.96,43.91,43.03,77.5,40.69
Bihar,Gaya,2018,60.71,25.31,39.82,48.02,73.82,49.64,85.06
Maharashtra,Jalna,2016,77.24,68.47,77.96,88.5,97.1,80.31,35.51
Rajasthan,Bundi,2022,17.8,77.32,79.47,41.54,77.36,91.04,86.93
Tamil Nadu,Thoothukudi,2024,96.73,56.6,99.22,26.23,93.44,91.94,92.98
Karnataka,Haveri,2015,87.76,83.98,58.44,81.14,86.66,33.7,44.17
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,28.06,96.33,46.57,23.18,21.9,35.23,89.59
Arunachal Pradesh,Tawang,2024,55.95,29.08,66.71,43.58,12.68,46.8,99.82
Uttar Pradesh,Ayodhya,2015,34.53,73.28,89.49,17.65,50.7,68.98,74.67
Uttar Pradesh,Lakhimpur Kheri,2025,14.57,61.32,28.3,17.78,89.65,37.48,82.44
Maharashtra,Solapur,2017,47.78,73.32,56.97,11.19,35.46,37.1,49.62
Mizoram,Kolasib,2019,87.4,51.89,95.54,91.33,53.02,83.18,29.54
Gujarat,Panchmahal,2016,58.46,88.33,35.46,95.58,51.34,25.02,59.31
Uttar Pradesh,Baghpat,2025,63.72,74.05,38.5,44.5,34.17,28.36,27.26
Jharkhand,Pakur,2021,98.19,74.14,90.34,68.34,78.54,97.1,84.54
Jharkhand,Gumla,2018,38.49,77.8,98.7,37.64,94.78,96.13,19.45
Chhattisgarh,Raipur,2017,13.15,90.68,46.14,60.84,10.62,97.56,38.65
Rajasthan,Gangapur City,2025,65.23,97.1,80.76,59.87,53.4,46.36,85.66
Uttar Pradesh,Sultanpur,2021,13.28,12.55,85.31,52.6,31.82,87.18,78.48
Nagaland,Mon,2016,12.93,71.06,72.69,40.47,20.71,46.84,82.94
Maharashtra,Satara,2018,35.69,28.53,71.21,50.57,97.63,95.97,49.14
Uttar Pradesh,Ayodhya,2024,65.38,20.96,80.87,68.02,47.54,57.4,78.84
Gujarat,Sabarkantha,2018,71.73,80.39,39.47,82.69,14.47,12.91,20.69
Uttar Pradesh,Kannauj,2020,47.45,73.91,10.61,46.44,11.24,91.97,59.26
Haryana,Panchkula,2015,78.51,91.72,37.75,13.66,21.1,67.44,94.87
Odisha,Jagatsinghpur,2023,98.46,62.93,35.99,80.57,38.18,19.77,59.59
Odisha,Jharsuguda,2015,73.47,19.47,53.17,26.05,56.28,15.17,74.34
Arunachal Pradesh,Tirap,2016,62.41,20.71,34.89,76.87,16.03,50.36,57.38
Andhra Pradesh,Sri Sathya Sai,2024,20.2,85.89,50.98,14.96,56.26,11.24,80.49
Bihar,Vaishali,2024,95.31,62.58,64.29,34.5,47.99,49.59,55.3
Telangana,Mahabubnagar,2024,31.03,58.98,17.39,68.12,79.05,87.12,46.07
Tamil Nadu,Namakkal,2020,19.16,41.57,89.4,51.72,30.76,30.04,52.45
Haryana,Rewari,2024,66.72,72.9,64.13,30.91,28.71,36.49,90.68
Punjab,Rupnagar,2015,85.59,23.52,74.74,51.28,64.3,64.48,99.48
Gujarat,Devbhoomi Dwarka,2023,35.38,90.87,33.98,88.85,88.1,98.93,87.52
Chhattisgarh,Bijapur,2018,70.95,55.25,67.04,22.8,12.16,82.48,25.55
Rajasthan,Sikar,2022,65.16,68.24,11.39,98.85,40.19,53.36,32.34
Uttar Pradesh,Sambhal,2020,65.44,39.38,66.44,37.79,80.33,35.15,22.87
Chhattisgarh,Durg,2019,50.67,45.28,84.8,54.97,85.16,41.6,13.45
Madhya Pradesh,Tikamgarh,2017,98.19,97.4,13.83,49.63,62.85,47.64,72.72
Chhattisgarh,Surguja,2023,37.88,89.11,98.48,73.25,93.2,88.99,49.57
Maharashtra,Jalna,2023,28.49,71.32,62.71,33.74,45.81,99.97,91.01
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,82.7,49.91,48.55,85.72,30.83,33.75,79.42
Maharashtra,Gadchiroli,2017,24.13,22.86,60.4,92.53,46.92,41.9,27.53
Chhattisgarh,Durg,2017,84.73,67.86,32.46,71.09,45.01,89.51,41.29
Madhya Pradesh,Mandsaur,2015,22.06,74.69,41.97,77.01,50.73,94.61,69.18
Uttar Pradesh,Ghazipur,2022,76.37,71.4,94.76,82.41,24.36,39.07,26.61
Haryana,Rohtak,2022,58.34,11.3,90.66,36.71,25.53,69.07,61.2
Telangana,Siddipet,2022,19.53,75.65,25.88,57.78,63.9,73.25,98.35
Jharkhand,Palamu,2018,12.18,23.28,96.3,51.99,88.02,78.84,70.81
Arunachal Pradesh,Leparada,2015,16.21,89.1,16.65,79.04,97.44,93.44,69.23
Assam,Dima Hasao,2025,72.88,97.63,20.28,15.89,30.42,96.72,38.54
Tamil Nadu,Perambalur,2017,38.79,20.79,50.74,41.02,56.8,31.02,40.18
Sikkim,Mangan,2024,19.37,60.58,23.0,60.69,38.66,39.84,36.87
Uttar Pradesh,Gonda,2019,77.1,13.38,95.61,90.14,57.05,90.5,99.72
Sikkim,Pakyong,2023,75.44,98.69,65.53,19.85,10.44,29.16,44.17
Manipur,Senapati,2015,95.22,31.89,41.28,77.19,79.19,38.67,12.79
Gujarat,Sabarkantha,2022,41.71,49.2,39.48,11.22,40.96,24.11,52.85
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2017,61.58,98.34,76.23,90.03,41.24,36.81,55.84
Uttar Pradesh,Gorakhpur,2021,57.83,11.64,10.87,73.44,93.93,93.07,89.42
Telangana,Mahabubabad,2020,42.44,20.39,61.82,90.88,15.51,50.49,68.63
Uttar Pradesh,Kanpur Dehat,2022,85.47,67.96,89.62,72.98,51.72,67.66,86.34
Tripura,Unakoti,2017,31.68,46.57,49.54,88.81,85.92,63.93,93.01
Andhra Pradesh,Eluru,2021,46.15,34.85,47.02,58.32,40.69,70.11,33.24
Jharkhand,Deoghar,2025,27.62,57.7,73.32,42.43,65.34,66.98,69.84
Jharkhand,Simdega,2022,32.92,74.86,84.55,75.49,18.27,36.05,54.81
Bihar,Bhojpur,2025,27.17,48.83,40.7,43.42,58.29,80.09,57.6
Gujarat,Mehsana,2018,79.02,19.96,70.79,37.36,59.46,19.29,25.03
Karnataka,Mysuru,2019,19.91,32.09,29.77,50.84,63.13,46.1,56.88
Meghalaya,South West Garo Hills,2020,93.74,46.03,10.47,54.19,76.12,37.19,52.8
Rajasthan,Sanchore,2020,80.8,51.02,27.43,99.72,10.52,24.12,75.73
Punjab,Kapurthala,2017,99.21,95.3,39.47,36.23,24.92,52.72,46.76
Jharkhand,Koderma,2016,28.03,70.6,46.99,70.14,40.42,95.17,29.23
Uttar Pradesh,Meerut,2016,21.96,79.8,35.63,41.87,74.61,74.69,77.02
Uttar Pradesh,Moradabad,2016,87.07,91.95,95.8,16.78,95.78,23.46,18.24
Gujarat,Dahod,2015,54.07,38.32,11.41,87.82,83.91,33.0,59.63
Andhra Pradesh,Visakhapatnam,2015,76.43,31.24,22.03,33.96,17.62,79.79,49.14
Telangana,Narayanpet,2020,97.41,79.38,81.9,35.38,59.61,12.15,15.98
Haryana,Faridabad,2017,64.65,58.33,60.74,10.76,71.06,24.24,89.96
Telangana,Warangal,2015,37.48,60.41,27.03,37.47,72.88,48.5,43.04
Haryana,Kaithal,2018,86.04,20.49,50.7,72.76,36.84,72.18,65.3
Assam,Baksa,2024,97.63,28.62,73.27,82.73,87.37,90.05,34.53
Tamil Nadu,Perambalur,2018,64.79,60.38,24.84,87.66,30.29,39.88,98.95
Gujarat,Rajkot,2017,12.54,56.63,87.55,81.85,29.2,55.78,52.17
Karnataka,Koppal,2022,24.53,29.17,61.66,60.64,14.52,45.17,65.39
Haryana,Yamunanagar,2023,63.44,24.51,88.61,86.29,54.92,21.04,71.79
Himachal Pradesh,Hamirpur,2021,18.41,27.71,43.81,84.68,30.34,94.05,66.54
Odisha,Gajapati,2018,22.05,37.98,68.26,55.42,98.33,27.58,91.58
Odisha,Bhadrak,2016,92.7,47.81,92.57,10.85,34.66,93.77,21.0
Chhattisgarh,Gariaband,2019,20.87,10.4,49.11,34.94,56.67,77.28,67.26
Nagaland,Tseminyu,2020,41.21,20.64,26.06,38.34,34.87,81.66,19.05
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,24.6,12.18,83.63,24.84,96.59,74.71,65.54
Punjab,Patiala,2022,25.64,46.03,74.1,55.92,76.06,96.76,39.8
Gujarat,Narmada,2020,90.29,55.92,27.54,57.74,99.14,29.31,33.43
West Bengal,Murshidabad,2018,78.97,89.8,43.02,29.05,65.69,13.4,10.43
Himachal Pradesh,Kangra,2021,17.39,69.14,94.69,13.8,30.92,48.04,28.21
Uttar Pradesh,Farrukhabad,2017,68.78,93.93,15.07,75.86,39.73,75.24,59.43
Assam,Hojai,2018,26.58,14.86,59.1,95.71,60.54,91.5,50.73
Telangana,Jangaon,2016,83.32,66.62,86.27,76.63,52.41,75.64,10.57
Rajasthan,Jodhpur,2021,92.08,25.63,49.11,56.66,65.44,44.93,41.53
Uttar Pradesh,Lakhimpur Kheri,2020,21.06,67.94,52.18,89.85,60.61,96.46,67.04
Maharashtra,Raigad,2016,87.2,10.26,38.23,58.14,54.47,90.09,39.77
Meghalaya,South Garo Hills,2016,18.21,32.03,72.72,14.67,41.68,71.45,16.81
Arunachal Pradesh,Siang,2021,48.56,23.99,35.17,23.73,59.19,48.12,27.71
Jharkhand,Palamu,2021,54.92,56.6,18.44,13.55,42.94,80.57,54.08
West Bengal,Paschim Bardhaman,2019,78.12,60.7,15.49,94.75,21.25,48.48,62.55
Arunachal Pradesh,Lower Dibang Valley,2019,11.65,44.01,40.03,12.76,59.82,20.37,27.35
Rajasthan,Jodhpur,2015,83.92,96.1,43.15,67.61,89.35,76.89,30.55
Nagaland,Phek,2021,27.04,14.88,82.79,96.16,93.99,87.6,14.36
Uttar Pradesh,Prayagraj,2022,91.59,35.82,97.04,50.62,40.85,24.03,24.47
Andhra Pradesh,NTR,2019,77.28,26.7,10.55,32.6,78.22,31.97,48.41
Uttar Pradesh,Mainpuri,2024,46.2,87.51,94.53,97.51,89.09,63.59,68.85
Uttar Pradesh,Moradabad,2017,67.08,76.54,32.56,54.29,62.04,26.0,84.75
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,67.08,47.5,46.34,14.33,85.35,88.75,89.48
Chhattisgarh,Kabirdham,2015,10.37,90.8,51.99,30.26,36.78,70.41,19.01
Uttar Pradesh,Fatehpur,2017,15.58,25.17,17.29,34.84,51.79,47.44,81.04
Gujarat,Mehsana,2020,84.23,54.72,66.77,63.08,12.87,99.59,42.5
Uttar Pradesh,Barabanki,2020,17.87,61.86,55.15,83.73,39.2,51.19,76.08
Maharashtra,Akola,2021,96.33,73.34,81.35,46.5,55.27,49.78,51.81
Odisha,Bhadrak,2017,25.34,95.81,91.22,86.04,90.29,82.77,71.75
Madhya Pradesh,Maihar,2023,25.94,98.8,69.02,69.72,11.04,26.39,34.72
Tripura,North Tripura,2021,10.07,90.83,39.83,98.31,11.99,88.87,72.79
Odisha,Bhadrak,2018,42.89,46.15,79.67,54.65,25.17,97.22,19.67
Gujarat,Mehsana,2024,71.4,15.39,88.06,64.95,49.77,95.32,64.57
Gujarat,Banaskantha,2017,65.87,81.23,49.29,79.78,50.98,61.79,72.33
Jharkhand,Dhanbad,2025,73.27,24.75,54.99,90.94,18.24,96.48,52.11
Gujarat,Valsad,2017,16.53,28.89,27.46,94.14,23.42,49.5,24.28
